transaction_id,product_id,customer_id,sale_date,quantity_sold,price_per_unit,discount_applied,store_id
TXN000000,PROD0087,CUST00336,2024-09-23,4,1430.96,0.0,STORE05
TXN000001,PROD0082,CUST00027,2024-06-27,4,473.43,0.0,STORE09
TXN000002,PROD0091,CUST00412,2024-02-01,4,4720.29,0.03,STORE09
TXN000003,PROD0075,CUST00382,2024-11-16,1,399.96,0.11,STORE08
TXN000004,PROD0036,CUST00312,2024-09-16,1,3077.52,0.0,STORE03
TXN000005,PROD0009,CUST00111,2024-10-04,1,2930.0,0.0,STORE09
TXN000006,PROD0071,CUST00005,2024-08-29,5,155.29,0.0,STORE04
TXN000007,PROD0072,CUST00140,2024-12-17,5,1082.14,0.0,STORE08
TXN000008,PROD0001,CUST00320,2024-10-01,1,830.29,0.1,STORE09
TXN000009,PROD0049,CUST00264,2024-07-02,5,355.14,0.0,STORE01
TXN000010,PROD0048,CUST00229,2024-03-05,1,4397.92,0.0,STORE03
TXN000011,PROD0088,CUST00075,2024-05-03,1,4621.92,0.0,STORE09
TXN000012,PROD0063,CUST00339,2024-06-26,5,2020.54,0.0,STORE07
TXN000013,PROD0041,CUST00278,2024-06-24,4,4204.32,0.0,STORE06
TXN000014,PROD0050,CUST00316,2024-01-03,4,1483.95,0.02,STORE04
TXN000015,PROD0001,CUST00130,2024-09-17,2,4063.34,0.0,STORE07
TXN000016,PROD0011,CUST00037,2024-10-08,4,2900.02,0.16,STORE08
TXN000017,PROD0093,CUST00206,2024-02-02,4,4981.78,0.0,STORE10
TXN000018,PROD0012,CUST00250,2024-09-10,2,1644.92,0.0,STORE04
TXN000019,PROD0074,CUST00461,2024-03-26,5,4560.14,0.0,STORE01
TXN000020,PROD0092,CUST00334,2024-12-26,2,1657.48,0.0,STORE03
TXN000021,PROD0068,CUST00466,2024-01-17,3,2571.13,0.0,STORE01
TXN000022,PROD0054,CUST00229,2024-12-31,5,2940.65,0.0,STORE01
TXN000023,PROD0062,CUST00374,2024-02-14,4,2955.73,0.0,STORE03
TXN000024,PROD0004,CUST00212,2024-08-29,5,147.63,0.0,STORE04
TXN000025,PROD0054,CUST00189,2024-12-18,5,4919.28,0.15,STORE05
TXN000026,PROD0026,CUST00390,2024-11-25,1,1864.53,0.0,STORE04
TXN000027,PROD0049,CUST00144,2024-09-12,3,3718.29,0.0,STORE07
TXN000028,PROD0067,CUST00024,2024-04-11,3,3248.04,0.0,STORE06
TXN000029,PROD0070,CUST00412,2024-02-12,1,3711.15,0.0,STORE03
TXN000030,PROD0100,CUST00413,2024-08-25,3,1384.27,0.0,STORE05
TXN000031,PROD0020,CUST00398,2024-01-24,4,2374.34,0.01,STORE07
TXN000032,PROD0061,CUST00199,2024-12-13,4,3469.72,0.0,STORE01
TXN000033,PROD0076,CUST00439,2024-01-17,1,2808.58,0.0,STORE04
