inventory_date,store_id,product_id,current_stock_level,product_name,category,brand,cost_price,supplier_name,lead_time_days
2024-12-31,STORE01,PROD0001,100,Centralized 4thgeneration protocol,Home Goods,Parmer Ltd,2318.6,"Shetty, Deo and Loyal Suppliers",8
2024-12-31,STORE01,PROD0002,71,Synergistic scalable benchmark,Home Goods,Vaidya Ltd,822.21,"Patil, Ranganathan and Seth Suppliers",13
2024-12-31,STORE01,PROD0003,41,Multi-tiered upward-trending standardization,Books,"Ramesh, Sunder and Bera",2923.79,Parmar Group Suppliers,13
2024-12-31,STORE01,PROD0004,28,Customer-focused needs-based approach,Apparel,"Trivedi, Bhagat and Aggarwal",2742.94,Bassi-Ramaswamy Suppliers,23
2024-12-31,STORE01,PROD0005,55,Fully-configurable well-modulated infrastructure,Books,"Sheth, Andra and More",67.92,Magar-Morar Suppliers,18
2024-12-31,STORE01,PROD0006,41,Reduced 24/7 productivity,Books,Garg LLC,384.03,Ben Group Suppliers,27
2024-12-31,STORE01,PROD0007,50,Extended systemic synergy,Apparel,"Ramesh, Sunder and Bera",2733.36,Magar-Morar Suppliers,18
2024-12-31,STORE01,PROD0008,6,Persevering analyzing portal,Books,Vaidya Ltd,2683.11,Natarajan PLC Suppliers,26
2024-12-31,STORE01,PROD0009,16,Triple-buffered even-keeled firmware,Apparel,Dass-Basu,439.2,Parekh-Buch Suppliers,22
2024-12-31,STORE01,PROD0010,0,Profit-focused mission-critical Graphical User Interface,Apparel,"Ramesh, Sunder and Bera",1655.0,"Barad, Nori and Mishra Suppliers",6
2024-12-31,STORE01,PROD0011,0,Synergistic dedicated database,Electronics,Anand-Saraf,1566.71,"Bhakta, Prakash and Sagar Suppliers",24
2024-12-31,STORE01,PROD0012,28,Configurable holistic definition,Electronics,Talwar and Sons,1324.24,Parmar Group Suppliers,13
2024-12-31,STORE01,PROD0013,89,Face-to-face object-oriented help-desk,Groceries,Talwar and Sons,1026.42,Parekh-Buch Suppliers,22
2024-12-31,STORE01,PROD0014,34,Fully-configurable maximized application,Groceries,"Trivedi, Bhagat and Aggarwal",2247.11,Magar-Morar Suppliers,18
2024-12-31,STORE01,PROD0015,44,Stand-alone bifurcated matrix,Electronics,Ahuja PLC,2632.27,Bassi-Ramaswamy Suppliers,23
2024-12-31,STORE01,PROD0016,38,Robust asynchronous model,Books,Parmer Ltd,1845.7,"Barad, Nori and Mishra Suppliers",6
2024-12-31,STORE01,PROD0017,0,Multi-tiered disintermediate synergy,Electronics,Ahuja PLC,1354.15,Parmar Group Suppliers,13
2024-12-31,STORE01,PROD0018,79,Phased 4thgeneration approach,Apparel,"Sheth, Andra and More",2098.09,"Murty, Bhagat and Radhakrishnan Suppliers",25
2024-12-31,STORE01,PROD0019,79,Seamless didactic instruction set,Groceries,Chawla and Sons,540.48,Datta LLC Suppliers,26
2024-12-31,STORE01,PROD0020,78,Cross-platform methodical hardware,Books,Vora Inc,595.71,"Hegde, Chauhan and Chaudhry Suppliers",16
