product_id,product_name,category,brand,cost_price,weight_kg,dimensions_cm,supplier_id
PROD0001,Synergistic foreground benchmark,Books,Sarma-Andra,2870.13,4.88,45x15x10,SUP015
PROD0002,Virtual context-sensitive middleware,Groceries,"Naidu, Gour and Tiwari",269.51,9.04,49x27x49,SUP004
PROD0003,Vision-oriented composite complexity,Groceries,Das Group,1691.89,6.08,37x44x42,SUP012
PROD0004,Realigned uniform algorithm,Apparel,Mani-Varty,1239.92,8.96,39x5x23,SUP003
PROD0005,Compatible methodical function,Books,Bhalla Inc,357.58,1.63,32x26x9,SUP019
PROD0006,Implemented grid-enabled policy,Books,Bhalla Inc,1873.61,0.72,33x27x19,SUP017
PROD0007,Decentralized upward-trending conglomeration,Electronics,Boase-Banerjee,1250.41,1.48,26x35x9,SUP020
PROD0008,Synchronized dynamic moderator,Home Goods,Krish Ltd,1272.08,3.76,45x8x43,SUP007
PROD0009,Organized real-time hierarchy,Apparel,Chaudry Group,1184.35,9.42,7x29x33,SUP015
PROD0010,Down-sized regional open system,Books,Sarma-Andra,1540.58,3.99,32x17x41,SUP007
PROD0011,Switchable incremental Local Area Network,Books,Boase-Banerjee,328.01,4.93,14x34x17,SUP020
PROD0012,Persevering grid-enabled firmware,Books,Sura-Korpal,1809.06,5.77,24x14x35,SUP019
PROD0013,User-friendly mission-critical flexibility,Electronics,Mani-Varty,1200.46,0.45,45x6x15,SUP010
PROD0014,Team-oriented radical capability,Apparel,Boase-Banerjee,2448.22,8.03,48x48x44,SUP012
PROD0015,Re-engineered static standardization,Books,"Tandon, Badal and Dasgupta",1985.69,1.21,28x47x35,SUP007
PROD0016,Ergonomic user-facing Graphical User Interface,Groceries,Boase-Banerjee,2087.33,4.68,24x16x23,SUP013
PROD0017,Balanced transitional function,Books,Madan-Wason,654.4,1.16,44x16x18,SUP016
PROD0018,Fundamental demand-driven help-desk,Home Goods,"Keer, Mander and Bhakta",486.91,2.23,9x12x10,SUP008
PROD0019,Virtual encompassing workforce,Home Goods,Jhaveri Ltd,1036.42,1.9,33x18x40,SUP005
PROD0020,Virtual system-worthy array,Apparel,Chauhan Group,1376.59,9.81,12x21x35,SUP004
PROD0021,Streamlined responsive Internet solution,Books,"Naidu, Gour and Tiwari",1459.63,8.21,6x29x29,SUP012
PROD0022,Synchronized systemic emulation,Apparel,Jhaveri Ltd,620.14,7.58,40x7x44,SUP019
PROD0023,Programmable non-volatile flexibility,Electronics,Sankaran-Sharaf,1329.14,0.29,37x30x33,SUP008
PROD0024,Exclusive secondary data-warehouse,Home Goods,Chaudry Group,2929.6,6.1,41x8x9,SUP018
PROD0025,Proactive upward-trending workforce,Groceries,Chauhan Group,2397.86,3.51,5x26x49,SUP004
PROD0026,Monitored holistic moderator,Groceries,"Keer, Mander and Bhakta",2806.94,8.64,29x28x31,SUP012
PROD0027,Self-enabling dedicated knowledge user,Apparel,"Naidu, Gour and Tiwari",2092.76,4.76,33x10x28,SUP010
PROD0028,Balanced next generation collaboration,Home Goods,Mani-Varty,2011.15,6.75,34x25x30,SUP018
PROD0029,Seamless hybrid time-frame,Apparel,Prabhakar-Johal,1449.92,4.47,11x24x26,SUP001
PROD0030,Reverse-engineered interactive strategy,Electronics,Kibe-Warrior,267.16,6.1,30x33x37,SUP003
PROD0031,Enhanced reciprocal throughput,Electronics,Krish Ltd,1406.95,6.76,32x9x6,SUP020
PROD0032,Multi-channeled directional moderator,Groceries,Prabhakar-Johal,1784.33,5.67,19x15x47,SUP006
PROD0033,Innovative 5thgeneration open architecture,Electronics,Mani-Varty,1143.81,8.82,15x42x9,SUP012
PROD0034,Realigned discrete focus group,Apparel,Prabhakar-Johal,262.48,0.79,29x6x7,SUP016
PROD0035,Progressive intangible function,Groceries,"Keer, Mander and Bhakta",1860.42,9.69,17x24x23,SUP005
PROD0036,Diverse systemic methodology,Home Goods,Dhaliwal Ltd,1584.96,1.15,24x7x10,SUP009
PROD0037,Persistent scalable core,Home Goods,"Tandon, Badal and Dasgupta",751.26,6.33,12x47x10,SUP003
PROD0038,Multi-channeled interactive Graphical User Interface,Home Goods,Kibe-Warrior,1491.77,8.53,48x20x49,SUP006
